text,label
"Sexhow railway station was a railway station built to serve the hamlet of Sexhow in North Yorkshire, England. The station was on the North Yorkshire and Cleveland's railway line between  and , which opened in 1857. The line was extended progressively until it met the Whitby & Pickering Railway at . Sexhow station was closed in 1954 to passengers and four years later to goods. The station was located  south of Stockton, and  west of Battersby railway station. History
The station was opened in April 1857, when the line from Picton was opened up as far as . Mapping shows the station to have had three sidings in the goods yard, coal drops and a crane. The main station buildings were on the westbound (Picton direction) side of the station. The station was south of the village that it served, and was actually in the parish of Carlton in Cleveland, which has led to speculation that it was named Sexhow to avoid confusion with  railway station, which was originally named Carlton.",0
"Sexhow railway station was a railway station located in the town of Sexhow, on the Cumbrian Coast Line in North West England. The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870. It was closed to passengers on 5 January 1950, and to goods on 12 May 1965. 

The station building is now a private residence. There is a small amount of trackage remaining near the building, used currently by a local agricultural business.",1
"In Finnish folklore, all places and things, and also human beings, have a haltija (a genius, guardian spirit) of their own.  One such haltija is called etiäinen—an image, doppelgänger, or just an impression that goes ahead of a person, doing things the person in question later does. For example, people waiting at home might hear the door close or even see a shadow or a silhouette, only to realize that no one has yet arrived. Etiäinen can also refer to some kind of a feeling that something is going to happen. Sometimes it could, for example, warn of a bad year coming. In modern Finnish, the term has detached from its shamanistic origins and refers to premonition. Unlike clairvoyance, divination, and similar practices, etiäiset (plural) are spontaneous and can't be induced. Quite the opposite, they may be unwanted and cause anxiety, like ghosts. Etiäiset need not be too dramatic and may concern everyday events, although ones related to e.g. deaths are common. As these phenomena are still reported today, they can be considered a living tradition, as a way to explain the psychological experience of premonition.",0
"In Finnish folklore, all places and things, animate or inanimate, have a spirit or ""etiäinen"" that lives there. Etiäinen can manifest in many forms, but is usually described as a kind, elderly woman with white hair. She is the guardian of natural places and often helps people in need. 

Etiäinen has been a part of Finnish culture for centuries and is still widely believed in today. Folklorists study etiäinen to understand Finnish traditions and how they have changed over time.",1
"In mathematics, specifically differential calculus, the inverse function theorem gives a sufficient condition for a function to be invertible in a neighborhood of a point in its domain: namely, that its derivative is continuous and non-zero at the point. The theorem also gives a formula for the derivative of the inverse function.
In multivariable calculus, this theorem can be generalized to any continuously differentiable, vector-valued function whose Jacobian determinant is nonzero at a point in its domain, giving a formula for the Jacobian matrix of the inverse. There are also versions of the inverse function theorem for complex holomorphic functions, for differentiable maps between manifolds, for differentiable functions between Banach spaces, and so forth. Statement
For functions of a single variable, the theorem states that if  is a continuously differentiable function with nonzero derivative at the point ; then  is invertible in a neighborhood of , the inverse is continuously differentiable, and the derivative of the inverse function at  is the reciprocal of the derivative of  at :",0
"In mathematics, specifically differential calculus, the inverse function theorem states that for every real-valued function there exists an inverse function that satisfies the following two conditions:

1. The inverse function is continuous at every point where the original function is continuous.
2. The inverse function is unique up to a constant multiple of the given function's derivative at any given point.",1
"is a Japanese shōjo manga series written and illustrated by Rinko Ueda. The series began serialization in Margaret magazine in 2007 and completed its run in the March 19, 2012 issue of the same magazine. The individual chapters have been collected into eight tankōbon volumes by Shueisha as of March 2012; the first on April 25, 2008 and the most recent on October 25, 2011. The series has been licensed by Viz Media for an English-language North American release as part of their Shojo Beat imprint. Plot
During the year Meiji 25 (1892,) Sumi Kitamura is penniless and her brother Eisuke, a womanizer and gambler, constantly leaves them in debt while bringing even more orphaned children home to feed. When her adopted sister, Tomi, becomes ill, Sumi finds that no doctors will help her as they are poor and no one is willing to give her money for medicine to save Tomi. Then as Sumi is crying on the road a handsome man gives her a handkerchief and some money, telling her to stop crying as smiles beckon happiness into her life before disappearing. Later a debt collector turns up at Sumi's house demanding 2000 yen. Eisuke is nowhere to be found and it is revealed that he had been making advances on the debt collector's wife. The man says that he will take away all of Sumi's younger siblings and sell them into slavery. Desperate to save her siblings, Sumi goes to the red light district in an attempt to raise the money in one night. Just when she thinks there's no more hope, a man named Soichiro Ashida appears and says that he will buy her. Sumi goes with him only to find that he was paying her to marry him! They immediately go to the church and afterwards he says that he'll pay for anything she could possibly want, but she has to marry him and not fall for him and that he will never love her. Sumi agrees and they get married.",0
"is a Japanese shōjo manga series written and illustrated by Maki Fujii. The series follows the life of Nanami Takahashi, a high school student who is struggling to find her place in the world.

Nanami Takahashi has always been a bit of an outsider. She's not verypopular at school, and she doesn't have many friends. That's why she's excited when she gets a new couch to sit on at her grandparent's house. But when Nanami steps on one of the roses in her grandfather's garden, she accidentally destroys them. The Roses are special to him and Nanami feels really bad. She decides to try and make up for it by doing some chores for her grandparent, but things don't go as planned...",1
"Robert Milner ""Rob"" Bradley, Jr. (born August 24, 1970 in Green Cove Springs, Florida) is a Republican politician from Florida. He served as a member of the Florida Senate, representing parts of North Central Florida from 2012 until he was term-limited in 2020. History
Bradley graduated from the University of Florida with a degree in telecommunications in 1992, and again with a Juris Doctor in 1996. Upon graduating from law school, he worked as an assistant state attorney in the Fourth Judicial Circuit of Florida until 1998, and then worked as a special magistrate for Green Cove Springs. In 2007, Bradley was appointed to the Clay County Commission by then-Governor Charlie Crist following the resignation of previous County Commissioner John E. Thrasher. He was re-elected in 2008 against write-in opposition, winning 96% of the vote. From 2009 to 2012, he served on the St. Johns River State College Board of Trustees, and currently works as the managing partner of Kopelousos, Bradley & Garrison, P.A., a law firm in Orange Park, Florida.",0
"Robert Milner ""Rob"" Bradley, Jr. (born August 29, 1973) is an American former professional baseball player. He played in Major League Baseball (MLB) for the Boston Red Sox, Cincinnati Reds, and Chicago White Sox from 1995 to 2006.

Bradley attended the University of Southern California (USC) and played college baseball for the USC Trojans. He was drafted by the Red Sox in the first round of the 1995 MLB draft. Bradley made his MLB debut in 1995 and was a part of the Red Sox team that won the World Series in 2004. He finished his career with a .286 batting average, 243 home runs, and 901 RBIs.

After retiring from baseball, Bradley became a color commentator for MLB on Fox and Fox Sports Midwest. He also works as a coach for the United States national baseball team.",1
